Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@Random__Editzz124-d6o,:/,2025-05-29T05:29:06Z,1,0
@pietervoogt,"The emphasis on 'personal responsibility' results in stressful competition, selfish and unethical behavior, inequality and uncertainty. You get more freedom and happiness with solidarity, trust and generosity.",2025-05-05T14:09:42Z,0,0
@carlosoliveros580,"The myth that nothern counties are the happiest in the world, just goes to show that the UN is a BS self promoting institution.",2024-10-28T10:37:42Z,0,0
@mr.e2962,Which Nordic countries consume the most anti-depresants?,2024-08-29T20:24:07Z,0,0
@Ser-Tor-s7t,Talking about Europe or the World?,2024-04-27T03:18:41Z,0,0
@mohan02,🙄🤣,2024-03-21T20:02:14Z,0,0
@conr2141,"The Scandinavian countries tend to adopt ""moral utilitarianism"" when thinking about society.. Meaning, the goal is to maximize total/aggregate ""well-being"", on the basis of something like Maslow's Hierarchy of needs.. since ""happiness returns"" tend to diminish as a function of wealth once you have the basics covered, it makes more sense covering those basics for as many people as possible, as a 1st priority.. You just basically decide as a society that aggregate well-being is more important than how rich your billionaire class is.",2023-10-24T16:08:10Z,0,0
@kk440635NORWAY,"Money is not the main key to happiness. I am from Norway, alot of people are happy, but there is also alot of unhappy people here. Depression is very common, probably because of mentality and weather, and there is alot of suicide and alcohol problems, and drug addicts, and there is not so much to do here either, because there is poor access to leisure facilities

I have been to poor countries where the citizens have much more to spend their free time on. If you live in the countryside, they have little to offer the residents. In many places you can go for a walk or stay at home, but that's all you can do, and you have poor access to public transport. It goes without saying that many people become depressed when they have bad weather almost all year round, and nothing to spend their time on. Moreover, it is a myth that most people are rich in Norway. Most of them belong to the working class, and even if the amount of income is higher than in many other western countries, one must not forget that Norway is among the most expensive countries in the western world, so then people do not become richer than in many other western countries, as the cost of living is much higher, I would like to emphasize that this does NOT apply to all western countries, there are some WESTERN countries where people have less in accordance with their cost of living

When it comes to healthcare, I would say that it is good in Norway, but not extraordinary or unique. There are many other countries in Europe that have the same system. Spending the night in hospital for free, and receiving free treatment while you are admitted to hospital apply in many places in the western world

All outpatient treatment in public healthcare costs money. It is partially subsidized, but not free, you have to pay a deductible, as in many other countries. Treatment within mental health in the Norwegian public health system has burst capacity with long waiting times, so access to help for those struggling mentally is poor. I know from an earlier period in my own life that help is difficult and scarce, you almost have to be suicidal to get help quickly, if you are not suicidal, but still have major psychological problems, then the waiting time in the public health system is long

I would also like to mention dental health. In Norway, I feel that the teeth are not part of the body. Dentistry is 0% subsidized by the state after you turn 18. Then you pay 100% of the price yourself, as you do in the USA. Dentistry is not part of the Norwegian ordinary healthcare system, it is a ""separate"" healthcare system, without rights. I can't afford to go to the dentist right now, but if I save some money, I might be able to in 3 or 4 months. 

Norway is not a bad country to live in. But it is not perfect or unique either. We are rich in resources, but the people who live here are not rich, but neither are they poor, but of course there are poor and rich, but these two groups are minorities, the working class is the majority of the population

Whether a person is lucky or unlucky is, in my opinion, to a greater extent from person to person than from country to country. But of course you are more fortunate than those who live in war zones or those who are starving, but say you don't live in a war zone, but still in a poor corrupt country and you yourself are poor, but still enough for food and hygiene, you are then less lucky than an average Norwegian? This is impossible to answer, there is no definitive answer, money is not everything, and it all depends on who you ask. Personally, I think it's about what you've experienced in life. 

Even if you live in a rich Western country, you are still not immune to bad experiences in life, and people deal with things differently, and it also has a lot to do with who you surround yourself with. There are cold people here as elsewhere, there are psychopaths here as elsewhere, there are people in mourning who have lost loved ones here as elsewhere, there is abuse here as elsewhere. 

You can be lucky or unlucky anywhere, and in my opinion it varies from country to country, and not from person to person. For example, if you lose someone you love, the grief is just as great in a rich country as it is in a poor country, the dead person does not come back, and the missing is just as great. If you experience traumatic events in Norway, this is no less traumatic than if you experience this in a poor country

Even if Norway has little street crime, I don't think they have less crime inside a house or an apartment with relations. Sick people are found everywhere, these are international problems. Many people in the world are mistreated by so-called ""friends"" or relatives within the 4 walls of the house. This is hardly less widespread in Norway than elsewhere",2023-06-07T22:31:08Z,0,0
@stevenyeo5035,Social capital tells citizens that they are valued - just by being a citizen.  That sense of being valued makes the difference.  Singapore can learn much from that - that quid proco is NOT the best way.,2023-06-04T08:25:53Z,0,0
@ajaychowdary8228,This is brain less chicken report,2023-03-24T13:32:47Z,0,0
@quad6752,What about Singaporeans living in one of the whole most expensive city?,2023-03-20T18:47:42Z,0,0
@mofoftriangle,"This is BS. I am from Mexico and live in Sweden. I can confidently say that Mexicans are much happier than Swedes, on average. Happiness and wellbeing iare not the same.",2023-03-19T02:41:35Z,0,0
@alexcindia,Bhutan,2022-11-02T05:44:59Z,0,0
@hans5130,"The State’s could learn something from this.  I think they would rather have a civil war.  Look at what all the richness has produced, poverty because of the greed.  We might as well be Jamaica.",2022-10-25T23:04:22Z,0,0
@506luceygrecia6,And I'm gonna go put on my rainburst lore hat and hakey,2022-09-06T08:20:31Z,0,0
@506luceygrecia6,Ok we're calling it rainy green goose,2022-09-06T08:19:51Z,0,0
@506luceygrecia6,And Canadians are.....,2022-09-06T08:18:36Z,0,0
@506luceygrecia6,Dams are made by otters...?,2022-09-06T08:18:04Z,0,0
@506luceygrecia6,I no it's weired it's like there's a million amerianos hanging around or somthin lucky we got the goose,2022-09-06T08:16:51Z,0,0
@506luceygrecia6,Sigh cat bat back,2022-09-06T08:15:31Z,0,0
@506luceygrecia6,Go rob a meth dealers mother I dunno?,2022-09-06T08:14:46Z,0,0
@506luceygrecia6,"That take you any and everywhere, if you have a smile sorta like a duck but more like a goose",2022-09-06T08:12:29Z,0,0
@506luceygrecia6,They got flying sky train subway things,2022-09-06T08:11:38Z,0,0
@506luceygrecia6,But really why is Canada not on the list or at least beautiful bc meaning Kanopy valley rainburst lore forrezt,2022-09-06T08:09:08Z,0,0
@JanuarysTobi,POV: you're here because of IEB,2022-07-03T14:58:44Z,2,0
@thefreakycricketlover.6025,Awesome video ;),2022-06-20T15:33:08Z,0,0
@sylviadailey9126,"Wow. I am intrigued. Scandanavia is not just a case of socialism done right, but it is also the happiest. This is something worth studying, because it can help other countries. One part is having more freedom despite having more control by the government. Mind blown! One can really have thier cake and eat it too. They can have both equality and freedom. Maybey it works like this. Big businesses in capitalism have thier own brand of tyranny. It is a tyranny that is less prominent than the political tyranny of a monarch or dictater. A lower class person can't do many things they want because they can't afford it. In a way, the upper class and big buissness puts tyrannical control on the people by pricing them out like this. It gets really bad when people struggle to pay for needed things like food, utility and housing. The socialism of Scandinavia clearly has more equality due to higher taxes and benifits. It does seem to be putting more order as well. I just thought it was part of the territory. Yet now I see. If the government was more generous, people will get all the resources they need. They can even go further and invest in education, Healthcare and family. So they get more personal freedom, because they are not priced out by the rich. Mind blown.

I am an American. I feel so called out. One Scandinavian woman said they are the ones that have the American dream. How ironic. I do like how Scandinavians use teamwork as a buffer against crisis. I wish my country had that too. I am so sick of the polarization. Republicans are arrogant jeks. They refuse to cooperate with Democrates. The situation is shifted so far right that it makes Democrats look like reasonable centrists. The video mentions the happiness of other countries drop due to poverty and political corruption. That is exactly the problem I have in America. I was really happy in my youth. I thrived in high school and college. Then I tried to enter the workforce. I was completely unable to get a decent job. There was struggle with unemployment, recession and poverty. It was so bad, I developed clinical depression. At worst I was suicidal. It is only recently that I show recovery. I became well enough to go on without being treated by a doctor. That was also when I got on SSI for disability. It is interesting whe I was happier benefiting from more governmental things like college and SSI. I got college mostly through government grants and student loans. Now that I am on SSI, I shouldn't have to pay back my loans. This is an interesting case of happiness.",2022-05-08T06:48:41Z,0,0
@ohtawana,IEB really got us watching this :),2022-05-03T19:51:32Z,7,1
@KP-cd9ge,Eish its tough out here😭💔,2022-06-22T20:14:28Z,0,
@Moon-zq7jt,Maybe the secret is the cross on the flag.,2022-04-23T05:13:26Z,0,0
@sanacher101,israel ranking 11: ahh almost made it to the top 10,2022-04-08T23:43:37Z,0,0
@MM-bc4bz,Why was the Swedish flag not in the thumbnail? 😐,2022-04-08T12:15:32Z,0,0
@zidanosman3244,Who is here for lo,2022-02-13T19:52:22Z,2,1
@KP-cd9ge,Me,2022-06-22T20:14:36Z,0,
@lolasonner5051,"Your flag has to have red , blue or white on it",2021-08-14T22:26:59Z,0,0
@mishmishb,Only Americans would think personal wealth would be the biggest determining factor in happiness 😂,2021-07-23T20:29:44Z,13,1
@godemperorofmankind3.091,it helps. its no coincidence that the countries with the highest median household income report as being the happiest countries,2022-01-01T15:59:38Z,2,
@professor-MHI,"Hispanics ,african americans ,and native americans all need to move to these countries quick before the next genocide occurs .",2021-06-02T22:40:10Z,0,0
@idosh1341,we in israel happy and no complaning even EVERYONE hate us with no axual reason,2021-05-29T18:15:48Z,1,2
@reineh3477,"We don't hate you, we are only criticize how you treat the palestinians",2021-10-31T05:22:13Z,0,
@fben5534,@@reineh3477 our government is always down bad.. but us the people love our life,2022-06-23T12:16:30Z,0,
