Comment,cleaned_comments
"The emphasis on 'personal responsibility' results in stressful competition, selfish and unethical behavior, inequality and uncertainty. You get more freedom and happiness with solidarity, trust and generosity.",the emphasis on personal responsibility results in stressful competition selfish and unethical behavior inequality and uncertainty you get more freedom and happiness with solidarity trust and generosity
"The myth that nothern counties are the happiest in the world, just goes to show that the UN is a BS self promoting institution.",the myth that nothern counties are the happiest in the world just goes to show that the un is a bs self promoting institution
Which Nordic countries consume the most anti-depresants?,which nordic countries consume the most anti depresants
Talking about Europe or the World?,talking about europe or the world
"The Scandinavian countries tend to adopt ""moral utilitarianism"" when thinking about society.. Meaning, the goal is to maximize total/aggregate ""well-being"", on the basis of something like Maslow's Hierarchy of needs.. since ""happiness returns"" tend to diminish as a function of wealth once you have the basics covered, it makes more sense covering those basics for as many people as possible, as a 1st priority.. You just basically decide as a society that aggregate well-being is more important than how rich your billionaire class is.",the scandinavian countries tend to adopt moral utilitarianism when thinking about society meaning the goal is to maximize total aggregate well being on the basis of something like maslow s hierarchy of needs since happiness returns tend to diminish as a function of wealth once you have the basics covered it makes more sense covering those basics for as many people as possible as a 1st priority you just basically decide as a society that aggregate well being is more important than how rich your billionaire class is
"Money is not the main key to happiness. I am from Norway, alot of people are happy, but there is also alot of unhappy people here. Depression is very common, probably because of mentality and weather, and there is alot of suicide and alcohol problems, and drug addicts, and there is not so much to do here either, because there is poor access to leisure facilities

I have been to poor countries where the citizens have much more to spend their free time on. If you live in the countryside, they have little to offer the residents. In many places you can go for a walk or stay at home, but that's all you can do, and you have poor access to public transport. It goes without saying that many people become depressed when they have bad weather almost all year round, and nothing to spend their time on. Moreover, it is a myth that most people are rich in Norway. Most of them belong to the working class, and even if the amount of income is higher than in many other western countries, one must not forget that Norway is among the most expensive countries in the western world, so then people do not become richer than in many other western countries, as the cost of living is much higher, I would like to emphasize that this does NOT apply to all western countries, there are some WESTERN countries where people have less in accordance with their cost of living

When it comes to healthcare, I would say that it is good in Norway, but not extraordinary or unique. There are many other countries in Europe that have the same system. Spending the night in hospital for free, and receiving free treatment while you are admitted to hospital apply in many places in the western world

All outpatient treatment in public healthcare costs money. It is partially subsidized, but not free, you have to pay a deductible, as in many other countries. Treatment within mental health in the Norwegian public health system has burst capacity with long waiting times, so access to help for those struggling mentally is poor. I know from an earlier period in my own life that help is difficult and scarce, you almost have to be suicidal to get help quickly, if you are not suicidal, but still have major psychological problems, then the waiting time in the public health system is long

I would also like to mention dental health. In Norway, I feel that the teeth are not part of the body. Dentistry is 0% subsidized by the state after you turn 18. Then you pay 100% of the price yourself, as you do in the USA. Dentistry is not part of the Norwegian ordinary healthcare system, it is a ""separate"" healthcare system, without rights. I can't afford to go to the dentist right now, but if I save some money, I might be able to in 3 or 4 months. 

Norway is not a bad country to live in. But it is not perfect or unique either. We are rich in resources, but the people who live here are not rich, but neither are they poor, but of course there are poor and rich, but these two groups are minorities, the working class is the majority of the population

Whether a person is lucky or unlucky is, in my opinion, to a greater extent from person to person than from country to country. But of course you are more fortunate than those who live in war zones or those who are starving, but say you don't live in a war zone, but still in a poor corrupt country and you yourself are poor, but still enough for food and hygiene, you are then less lucky than an average Norwegian? This is impossible to answer, there is no definitive answer, money is not everything, and it all depends on who you ask. Personally, I think it's about what you've experienced in life. 

Even if you live in a rich Western country, you are still not immune to bad experiences in life, and people deal with things differently, and it also has a lot to do with who you surround yourself with. There are cold people here as elsewhere, there are psychopaths here as elsewhere, there are people in mourning who have lost loved ones here as elsewhere, there is abuse here as elsewhere. 

You can be lucky or unlucky anywhere, and in my opinion it varies from country to country, and not from person to person. For example, if you lose someone you love, the grief is just as great in a rich country as it is in a poor country, the dead person does not come back, and the missing is just as great. If you experience traumatic events in Norway, this is no less traumatic than if you experience this in a poor country

Even if Norway has little street crime, I don't think they have less crime inside a house or an apartment with relations. Sick people are found everywhere, these are international problems. Many people in the world are mistreated by so-called ""friends"" or relatives within the 4 walls of the house. This is hardly less widespread in Norway than elsewhere",money is not the main key to happiness i am from norway alot of people are happy but there is also alot of unhappy people here depression is very common probably because of mentality and weather and there is alot of suicide and alcohol problems and drug addicts and there is not so much to do here either because there is poor access to leisure facilities i have been to poor countries where the citizens have much more to spend their free time on if you live in the countryside they have little to offer the residents in many places you can go for a walk or stay at home but that s all you can do and you have poor access to public transport it goes without saying that many people become depressed when they have bad weather almost all year round and nothing to spend their time on moreover it is a myth that most people are rich in norway most of them belong to the working class and even if the amount of income is higher than in many other western countries one must not forget that norway is among the most expensive countries in the western world so then people do not become richer than in many other western countries as the cost of living is much higher i would like to emphasize that this does not apply to all western countries there are some western countries where people have less in accordance with their cost of living when it comes to healthcare i would say that it is good in norway but not extraordinary or unique there are many other countries in europe that have the same system spending the night in hospital for free and receiving free treatment while you are admitted to hospital apply in many places in the western world all outpatient treatment in public healthcare costs money it is partially subsidized but not free you have to pay a deductible as in many other countries treatment within mental health in the norwegian public health system has burst capacity with long waiting times so access to help for those struggling mentally is poor i know from an earlier period in my own life that help is difficult and scarce you almost have to be suicidal to get help quickly if you are not suicidal but still have major psychological problems then the waiting time in the public health system is long i would also like to mention dental health in norway i feel that the teeth are not part of the body dentistry is 0 subsidized by the state after you turn 18 then you pay 100 of the price yourself as you do in the usa dentistry is not part of the norwegian ordinary healthcare system it is a separate healthcare system without rights i can t afford to go to the dentist right now but if i save some money i might be able to in 3 or 4 months norway is not a bad country to live in but it is not perfect or unique either we are rich in resources but the people who live here are not rich but neither are they poor but of course there are poor and rich but these two groups are minorities the working class is the majority of the population whether a person is lucky or unlucky is in my opinion to a greater extent from person to person than from country to country but of course you are more fortunate than those who live in war zones or those who are starving but say you don t live in a war zone but still in a poor corrupt country and you yourself are poor but still enough for food and hygiene you are then less lucky than an average norwegian this is impossible to answer there is no definitive answer money is not everything and it all depends on who you ask personally i think it s about what you ve experienced in life even if you live in a rich western country you are still not immune to bad experiences in life and people deal with things differently and it also has a lot to do with who you surround yourself with there are cold people here as elsewhere there are psychopaths here as elsewhere there are people in mourning who have lost loved ones here as elsewhere there is abuse here as elsewhere you can be lucky or unlucky anywhere and in my opinion it varies from country to country and not from person to person for example if you lose someone you love the grief is just as great in a rich country as it is in a poor country the dead person does not come back and the missing is just as great if you experience traumatic events in norway this is no less traumatic than if you experience this in a poor country even if norway has little street crime i don t think they have less crime inside a house or an apartment with relations sick people are found everywhere these are international problems many people in the world are mistreated by so called friends or relatives within the 4 walls of the house this is hardly less widespread in norway than elsewhere
Social capital tells citizens that they are valued - just by being a citizen.  That sense of being valued makes the difference.  Singapore can learn much from that - that quid proco is NOT the best way.,social capital tells citizens that they are valued just by being a citizen that sense of being valued makes the difference singapore can learn much from that that quid proco is not the best way
This is brain less chicken report,this is brain less chicken report
What about Singaporeans living in one of the whole most expensive city?,what about singaporeans living in one of the whole most expensive city
"This is BS. I am from Mexico and live in Sweden. I can confidently say that Mexicans are much happier than Swedes, on average. Happiness and wellbeing iare not the same.",this is bs i am from mexico and live in sweden i can confidently say that mexicans are much happier than swedes on average happiness and wellbeing iare not the same
